Names
Sparassis crispa
Spathularia flavida
Sphaerobolus stellatus
Spinellus fusiger
Stemonitis fusca
Stemonitis  fusca
Stereum gausapatum
Stereum hirsutum
Stereum subtomentosum
Strobilomyces strobilaceus
Strobilurus esculentus
Strobilurus tenacellus
Stropharia aeruginosa
Stropharia aurantiaca
Stropharia caerulea
Stropharia coronilla
Stropharia cyanea
Stropharia rugosoannulata
Stropharia semiglobata
Stropharia squamosa
Suillellus luridus
Suillus bellinii
Suillus bovinus
Suillus collinitus
Suillus granulatus
Suillus grevillei
Suillus luteus
Suillus tomentosus
Suillus variegatus
Tephrocybe palustris
Thelephora palmata
Thelephora terrestris
Tolypocladium capitatum
Trametes gibbosa
Trametes hirsuta
Trametes trogii
Trametes versicolor
Tremella aurantia
Tremella encephala
Tremella foliacea
Tremella fuciformis
Tremella mesenterica
Tremiscus helvelloides
Trichaptum abietinum
Trichaptum biforme
Trichia botrytis
Trichia decipiens
Trichoglossum hirsutum
Tricholoma album
Tricholoma equestre
Tricholoma flavovirens
Tricholoma focale
Tricholoma fulvum
Tricholoma imbricatum
Tricholoma matsutake
Tricholoma pardinum
Tricholoma populinum
Tricholoma portentosum
Tricholoma saponaceum
Tricholoma scalpturatum
Tricholoma sejunctum
Tricholoma sulphureum
Tricholoma terreum
Tricholoma ustale
Tricholoma vaccinum
Tricholoma virgatum
Tricholomopsis rutilans
Tubaria furfuracea
Tuber aestivum
Tuber borchii
Tuber brumale
Tuber excavatum
Tuber magnatum
Tuber melanosporum
Tuber mesentericum
Tubifera ferruginosa
Tulostoma brumale
Tulostoma fimbriatum
Turbinellus floccosus
Tylopilus felleus
Tyromyces subcaesius
Ustulina deusta
Vascellum pratense
Verpa bohemica
Volvariella bombycina
Volvariella gloiocephala
Volvariella volvacea
Xerocomellus chrysenteron
Xerocomus armeniacus
Xerocomus chrysenteron
Xerocomus communis
Xerocomus lanatus
Xerocomus parasiticus
Xerocomus porosporus
Xerocomus rubellus
Xerula radicata
Xylaria carpophila
Xylaria hypoxylon
Xylaria longipes
Xylaria polymorpha
